leverage_ratio,total_asset_total_liab,current_ratio,quick_ratio,ROI,ROE,asset_turnover,ROS,debt_coversion_ratio,debt_ratio,ROCE,Default,nace,nace_group
15.82066952,1.06320845,1.757028425,1.406266266,1.098307168,18.47426191,2.871547228,0.016421553,0.05444786,0.940549334,0.11126608,0,1410,2
12.32316231,1.081148002,1.216289692,0.304899273,0.146632212,1.953604765,0.915082376,0.035457916,0.00817206,0.924942744,0.103867265,0,1520,2
2.283810476,1.437864705,1.29560439,0.387235919,0.028543104,0.093730145,0.38030885,0.089375358,0,0.695475726,0.106623441,0,1041,2
10.87897558,1.09192042,1.012667352,0.86335351,0.063940289,0.759545129,1.429950712,0.025223685,0.001779208,0.915817657,0.171712148,0,1721,2
2.920414133,1.34241719,1.227639614,0.947028236,1.594418446,6.250780608,2.661917561,0.009378608,0,0.744924907,0.317097585,0,1623,2
1.212059452,1.825042037,1.297743831,0.670418276,0.977277705,2.161796385,0.957636819,0.012325253,0,0.547932584,0.069311772,0,1051,2
1.106521928,1.903732655,2.243956623,1.017796979,-0.474695847,-0.99995721,1.11145371,-0.002341237,-0.019479232,0.52528384,-0.014620919,0,1610,2
4.192551859,1.238518218,1.377503594,1.035659436,0.018366504,0.095369024,1.099712096,0.031047203,0,0.807416464,0.092569696,0,1520,2
2.252865685,1.443879103,1.777131637,1.729559916,2.119765436,6.895312248,1.485645041,0.035259812,0,0.692578761,0.134131662,0,1072,1
4.258373206,1.234831461,1.151487875,0.817140324,0.031909244,0.167790715,0.615823569,0.02932496,0.011938304,0.809827116,0.058073432,0,1102,2
9.653697109,1.103587257,1.033754146,0.736788274,-1.182269066,-12.59553653,1.23001586,-0.000648817,0,0.906135871,-0.003795675,0,1520,2
4.926264465,1.202993568,1.254661055,1.210898194,2.889177866,17.12203212,1.668110151,0.045335799,0.111349444,0.83125964,0.365407296,0,1721,2
4.738811232,1.211023388,1.301927457,0.816565572,-0.175086021,-1.004785626,0.901468891,0.01969048,-0.012922131,0.825747884,0.0765502,0,1013,2
20.08560149,1.049786908,1.048761153,1.044016508,0.978291788,20.62787078,1.426262652,0.023421889,0.034637388,0.952574272,0.786549955,0,1410,2
2.273844447,1.439783821,1.428650599,0.898430628,3.366959544,11.0229018,0.916059422,0.049349521,0,0.694548713,0.534322439,0,1623,2
18.52107853,1.053992536,1.405574033,0.883269736,3.052689194,59.59178548,0.92561983,0.088271249,0.090090914,0.948773322,0.192105263,0,1041,2
8.040675875,1.124367655,0.7037584,0.575618455,2.611375422,23.60859878,0.524212307,0.05845679,0,0.889388801,0.581718253,0,1041,2
3.502952169,1.285473495,0.379314384,0.352852929,-3.042331884,-13.69947496,0.450547692,-0.066981056,0,0.777923468,-0.410078428,0,1810,1
7.760093084,1.128864434,1.07300457,1.023436178,0.386240067,3.383498936,1.382596127,0.030486109,0,0.885845962,0.174390438,0,1812,2
1.657231306,1.603416069,1.87607723,1.694593002,-1.724624598,-4.582726474,0.701806686,-0.013229613,0,0.623668441,-0.02454267,0,1812,2
2.606973632,1.383586542,1.559648785,1.417330811,1.338715112,4.828710109,1.100563054,0.024012813,0.094543702,0.722759271,0.108000922,0,1812,2
16.31098081,1.061308392,0.785598848,0.611309987,0.534184878,9.247264173,1.555964851,0.00240225,0.062356322,0.942233198,0.176295746,0,1511,2
4.071387071,1.245616539,2.53185612,2.449598629,8.799416473,44.62524693,1.206886228,0.109949549,0,0.802815288,0.298498718,0,1310,2
9.200071332,1.108694809,0.90336276,0.851356825,0.670597107,6.840138322,2.401228693,0.008633325,0.023564922,0.90196147,0.181110624,0,1051,2
2.741116444,1.364814856,1.000638725,0.82135111,0.13379564,0.50054507,0.510550192,0.04678596,0.012528429,0.732700114,0.048852148,0,1107,1
8.081442658,1.123740283,1.267489018,1.020354949,0.00154693,0.014048359,0.93875346,0.028225868,3.99E-05,0.889885337,0.179474573,0,1396,2
2.455820877,1.407195822,1.059316053,1.048345105,1.27922987,4.420789293,1.141522451,0.025027364,0.076838453,0.71063315,0.074009133,0,1310,2
1.18878085,1.841197938,2.34030207,1.81573341,1.49034545,3.26203958,2.148037349,0.010738947,0,0.543124658,0.117169606,0,1013,2
1.972831377,1.506885693,0.643505593,0.454953681,0.124615992,0.37046233,0.550767737,0.011828774,0.006064378,0.663620343,0.027669023,0,1330,2
18.88226841,1.052959739,1.027915846,0.921853676,0.567341029,11.28002662,1.198787715,0.023400368,0.022299708,0.949703928,0.347636288,0,1419,2
2.109625202,1.474017849,2.184492646,0.900430106,2.130482933,6.625003422,0.866349813,0.058841758,0,0.678417837,0.132008782,0,1392,2
19.30747183,1.05179342,0.660952335,0.644878649,1.596208267,32.41495441,1.388537116,0.041933728,0,0.950757041,0.140267032,0,1013,2
8.106013488,1.123365203,1.00466675,0.892426251,1.269587098,11.56087724,1.276792863,0.027835116,0.061135525,0.89018246,0.144915935,0,1610,2
1.193112687,1.838143799,2.042151803,1.724592989,2.558426171,5.610916893,1.562509125,0.028874134,0,0.544027078,0.526068327,0,2059,1
19.43624548,1.051450266,1.148721777,0.556140405,0.415121709,8.483529148,1.232093764,0.009079143,0.026469428,0.951067333,0.117265502,0,1439,2
3.683355798,1.271491557,1.202825637,1.201182335,2.263587482,10.60118556,2.433296971,0.01781087,0,0.786477893,0.6361778,0,1511,2
15.96745176,1.062627401,1.014679587,0.816224976,0.186798102,3.169487782,0.930445073,0.016997052,0.052339269,0.941063631,0.173594513,0,1812,2
3.786160735,1.264119796,0.413414241,0.100481551,0.219642937,1.051246398,0.44492178,0.034591015,0.023508126,0.791064267,0.053190417,0,1102,2
5.597671257,1.178645718,1.825667075,0.076139483,0.575700032,3.798279551,0.807368673,0.053656248,0,0.848431369,0.130620803,0,1413,3
16.85501728,1.059329515,1.079529912,0.91785398,0.03732198,0.666384599,1.549149493,0.008207823,0,0.943993333,0.164038417,0,1520,2
1.62361725,1.615908706,1.42364396,1.422303367,0.059423421,0.155904313,0.336657725,0.048757671,0,0.618846842,0.016831542,0,1102,2
10.42848832,1.095891175,0.847416367,0.740810765,0.379533274,4.337491585,1.139885536,0.045425489,0.016485564,0.912499364,0.241065383,0,1623,2
1.130531181,1.884539955,1.377621567,0.754722698,0,0,1.147890101,0.000584172,0,0.530633483,0.003117419,0,1102,2
0.971489759,2.029346929,1.66957131,1.632107416,0.276359718,0.544840353,0.61507965,0.064231073,0,0.492769366,0.149164897,0,2010,1
2.243577472,1.445716724,1.787109938,1.063930562,4.718928357,15.30620971,1.331432279,0.059174731,0,0.691698438,0.360636401,0,1813,2
0.884177208,2.130994999,1.423917813,0.98744968,0.164205814,0.309392851,0.524474039,0.07230065,0.011855795,0.469264358,0.185951466,0,1812,2
4.240271018,1.235833982,1.178601283,1.16482372,-5.376693222,-28.17532967,0.70164528,-0.068976912,0,0.809170175,-0.362318111,0,2059,1
3.248370426,1.307846664,2.341750586,0.882133751,-0.274463299,-1.166021762,0.637400362,0.04165324,-0.014342787,0.764615629,0.057841496,0,1310,2
3.068878958,1.325851887,1.917579169,1.674479815,0.185828795,0.756114873,1.170752854,0.003759028,0,0.75423206,0.01119425,0,1812,2
3.687449923,1.271190123,0.309380732,0.262889614,0.376396634,1.764340375,0.340901455,0.088251057,0.053232033,0.786664388,0.07638265,0,1624,2
3.033822821,1.32961714,0.801219221,0.801219221,0.969021723,3.908861942,0.962264372,0.047543203,0.035835054,0.752096201,0.140943582,0,1820,3
20.24836068,1.049386714,1.016556345,0.412005098,1.351860037,28.72480965,1.766377696,0.023053304,0,0.952937546,0.114327154,0,1623,2
15.30405947,1.06534214,0.849372264,0.794078217,0.589875943,9.617372464,0.7923307,0.020132381,0.036581645,0.938665582,0.03069167,0,1073,1
